feature,ffca_impact,ffca_nonlinearity,ffca_interaction,pdp_residual_norm,pdp_rss,pdp_range,ols_slope,elapsed_sec
gate1_t-6,0.0020995398704712898,0.0011515128426253796,0.05801522557158023,0.8005940000318604,1.6391163527298893e-05,0.005056995422648031,0.0007473275641699962,19.45
gate2_t-14,0.0023423506067956623,0.0012962425244040787,0.0684751266380772,1.3652308545447693,1.7507746871364966e-05,0.003064848662422731,0.00020983767835235597,19.51
gate1_t-4,0.0025784751692299324,0.0014024346019141376,0.06845007734955288,0.9343556539346682,2.6445425086738824e-05,0.005503805250929439,0.000743817817806863,19.64
gate1,0.00266332224987309,0.001554563466925174,0.07384358649142087,0.6785669966515723,2.9097356209389313e-05,0.007949394174920155,0.0012196511316222712,20.84
gate2_t-5,0.002739587161158852,0.0016324253519997,0.07081899471813813,0.8901653967238964,1.9410476460823173e-05,0.004949341149138054,0.0006480515106686642,19.8
gate1_t+16,0.0020412980257731306,0.0017477297224104404,0.0914040309144184,1.2213357086440368,3.916720151350297e-05,0.005124201701091369,-0.0006061835512057956,19.92
gate1_t+13,0.002288673555682408,0.0018200371414422989,0.0826754011795856,1.6380426914012203,4.636543072973421e-05,0.004156922550009318,-0.00030920495006364114,19.92
gate2_t+23,0.002221960346957985,0.002012793906033039,0.09334881941322237,1.202528487941425,6.630643884483164e-06,0.0021413244615064385,0.00016367319552692292,19.9
gate1_t-1,0.003172534162786178,0.0020947150769643486,0.08852577858488075,0.9394488003259945,3.926042937558535e-05,0.006669670918093751,0.0009131046131979706,20.05
stgH_t-8,0.004360991239082068,0.0021958814468234777,0.12678237480577081,0.04956440924041702,1.0293576571905744e-07,0.006473113403724246,-0.003857491273881919,20.02
stgH_t-10,0.003475865234122466,0.0022849501110613346,0.10617702529998496,0.06653814212859115,1.5723757451893443e-07,0.005959468075142938,-0.003569840409424834,19.93
gwl_t-14,0.012907262229418848,0.0024246112443506718,0.1704470170661807,0.011181366560703877,7.942900027691107e-09,0.007970666953431205,0.016524978753184465,20.03
stgH_t-14,0.002591184907942079,0.0025481372140347958,0.101317587075755,0.10768909687790654,1.268328217345226e-07,0.0033070753673778374,-0.001966662094682447,19.93
stgH_t-5,0.002618092199540456,0.0028822991298511624,0.1293670982704498,0.141614641018334,8.496488212276376e-08,0.0020583137432800213,-0.001204516645410559,20.07
gwl_t-16,0.004969720228473307,0.0030667572282254696,0.12986499507678673,0.02366920022930061,6.2908998569817686e-09,0.003350987457738952,0.006881640230789799,20.14
stgH_t-3,0.002845325504495122,0.0035432371078059077,0.15308363048825413,0.13067878428059201,4.4315795954632885e-07,0.005094178886221485,0.0030545347732512437,20.19
gwl_t-19,0.004599485077051213,0.003733754507265985,0.13860089489025995,0.3987940352280259,3.6356250721137024e-09,0.00015119620512590295,-0.0003437534929609319,20.2
gwl_t-13,0.01646203181007877,0.005034215748310089,0.19851288478821516,0.00452979335484443,1.9387182510333615e-09,0.009720284112797817,0.020137017695251076,20.19
stgH_t-1,0.013805854548991192,0.005702082300558686,0.26407102635130286,0.029108738745395907,6.888706770153351e-07,0.028513167218373846,0.01710911156348058,20.18
stgH_t-2,0.0064600843265907315,0.006530700251460075,0.21169751067645848,0.04503098407638642,4.3257294854454574e-07,0.014605560922132577,0.008754125208790174,21.25
rain_t-17,0.014599534872104414,0.007770764175802469,0.23883170820772648,0.004823531563385084,7.165063429181347e-14,5.549385498626039e-05,-0.0045592229721874026,20.17
rain_t-10,0.006256168743220769,0.008774062152951956,0.2885080608539283,0.003456344846027125,3.5449283616850327e-13,0.00017226088147025967,0.01416639240409549,20.19
rain_t-11,0.005309518350884446,0.009402735158801079,0.2812716297339648,0.006143564383415643,5.523538062541124e-13,0.00012097294728618526,0.009945816715716647,20.16
rain_t-8,0.016520552399015287,0.010022785980254412,0.43198245530948043,0.00152581893389224,2.4090378637236863e-13,0.0003216761137114165,0.026455275166329603,20.31
rain_t-9,0.00935388173775209,0.010327998548746109,0.3397691622376442,0.0024826139656492657,3.920197204478926e-13,0.00025219981472356925,0.02073592083659507,20.36
rain_t-21,0.009592621427145787,0.014759622514247894,0.35565987089648843,0.03201116266995603,4.451423340082163e-15,2.0842413173348954e-06,0.0001741523752884985,20.42
rain_t-7,0.020551355575662456,0.016860973089933395,0.4445482138544321,0.00257021845967949,1.0340433193912302e-12,0.000395639211939408,0.03253517371038118,20.5
rain_t-5,0.030503242509439588,0.02337116003036499,0.4612917834892869,0.001796854635901198,8.691284643663788e-13,0.0005188347334729114,0.04266940334566016,20.47
rain_t-1,0.06050693878205493,0.03054138645529747,0.6649245731532574,0.001858312783214894,2.3258501656812392e-12,0.0008206766034231871,0.0674767374449206,20.57
gwl_t-1,0.09961420111358166,0.057533860206604004,1.0308667216449976,0.011166165620737174,3.369444900358579e-07,0.0519846487949358,0.10847620456676176,20.47
