feature,ffca_impact,ffca_volatility,ffca_nonlinearity,ffca_interaction,ice_heterogeneity,ice_mean_curvature,elapsed_sec
gate1_t-6,0.0020995398704712898,1.3032203887134617e-06,0.0011515128426253796,0.05801522557158023,0.0001321272385744113,0.00022168475313593005,1.38
gate2_t-14,0.0023423506067956623,1.6149959616007635e-06,0.0012962425244040787,0.0684751266380772,0.0001386918815781012,0.0002475162382652451,0.96
gate1_t-4,0.0025784751692299324,1.9141697900591366e-06,0.0014024346019141376,0.06845007734955288,0.00017974660656312492,0.0003016709958655712,0.96
gate1,0.00266332224987309,2.261030950779743e-06,0.001554563466925174,0.07384358649142087,0.00018606462309631654,0.0003085675793080372,0.95
gate2_t-5,0.002739587161158852,1.518603196722353e-06,0.0016324253519997,0.07081899471813813,0.00015718964198633845,0.00026980358051453417,1.03
gate1_t+16,0.0020412980257731306,4.832941824666923e-06,0.0017477297224104404,0.0914040309144184,0.00018236196966035662,0.00036500502895633956,1.09
gate1_t+13,0.002288673555682408,4.191331106398966e-06,0.0018200371414422989,0.0826754011795856,0.0001872907301334739,0.0003767214098597732,1.04
gate2_t+23,0.002221960346957985,5.046359655085597e-06,0.002012793906033039,0.09334881941322237,9.52859984136781e-05,0.00011235198892459577,1.0
gate1_t-1,0.003172534162786178,2.8632074301865074e-06,0.0020947150769643486,0.08852577858488075,0.0002299654966696551,0.0003681346501900664,1.02
stgH_t-8,0.004360991239082068,4.814794646114865e-06,0.0021958814468234777,0.12678237480577081,0.00041063901292575153,0.00037012616027359016,0.98
stgH_t-10,0.003475865234122466,2.3884557586460192e-06,0.0022849501110613346,0.10617702529998496,0.000370005011488202,0.00034265206769108005,0.99
gwl_t-14,0.012907262229418848,4.245505835305456e-06,0.0024246112443506718,0.1704470170661807,0.0006993830586835981,0.0007140440149629203,1.0
stgH_t-14,0.002591184907942079,2.3620561324482353e-06,0.0025481372140347958,0.101317587075755,0.00034805058182442217,0.00031155564498967244,1.08
stgH_t-5,0.002618092199540456,5.485437088479589e-06,0.0028822991298511624,0.1293670982704498,0.0003932250390614557,0.0003982959475274197,1.0
gwl_t-16,0.004969720228473307,2.3816152421234362e-06,0.0030667572282254696,0.12986499507678673,0.0004961656533680333,0.00046554516222704277,1.02
stgH_t-3,0.002845325504495122,5.292450857380065e-06,0.0035432371078059077,0.15308363048825413,0.00043934758086118395,0.0005511667268001774,1.05
gwl_t-19,0.004599485077051213,3.454275258755887e-06,0.003733754507265985,0.13860089489025995,0.00037354104517806666,0.0003630184328482028,1.04
gwl_t-13,0.01646203181007877,4.947885799463183e-06,0.005034215748310089,0.19851288478821516,0.0006685292156193392,0.0008584305105638712,1.07
stgH_t-1,0.013805854548991192,1.1583158098901488e-05,0.005702082300558686,0.26407102635130286,0.0007135967443682935,0.0007998802538183658,1.0
stgH_t-2,0.0064600843265907315,8.260199640158963e-06,0.006530700251460075,0.21169751067645848,0.0005680526124501967,0.0006999206553685175,1.06
rain_t-17,0.014599534872104414,1.5094510771029552e-05,0.007770764175802469,0.23883170820772648,0.00532381618750336,0.0033822816613795154,1.06
rain_t-10,0.006256168743220769,2.0193317811065948e-05,0.008774062152951956,0.2885080608539283,0.009415744624215952,0.004579455046898742,0.98
rain_t-11,0.005309518350884446,2.0382029594786144e-05,0.009402735158801079,0.2812716297339648,0.010297705106034226,0.004856439665698276,0.97
rain_t-8,0.016520552399015287,3.3064910842295366e-05,0.010022785980254412,0.43198245530948043,0.009849300996495083,0.005720839868252621,0.97
rain_t-9,0.00935388173775209,2.7517157848118176e-05,0.010327998548746109,0.3397691622376442,0.009996743327110093,0.005318880591033557,0.98
rain_t-21,0.009592621427145787,2.5174323434104775e-05,0.014759622514247894,0.35565987089648843,0.00785006779170917,0.004139461586982069,0.99
rain_t-7,0.020551355575662456,3.211519401726923e-05,0.016860973089933395,0.4445482138544321,0.01225698650766342,0.007311962342809552,0.97
rain_t-5,0.030503242509439588,3.0067398822019872e-05,0.02337116003036499,0.4612917834892869,0.012712464955758002,0.007882902276232949,0.97
rain_t-1,0.06050693878205493,5.08827899221155e-05,0.03054138645529747,0.6649245731532574,0.01264352721619188,0.011288776035732416,0.98
gwl_t-1,0.09961420111358166,0.00010846325377236981,0.057533860206604004,1.0308667216449976,0.013101589545665555,0.02023261785127624,0.97
